hind1,hind2,hpair_ind
58,17,1698
59,17,1699
60,17,1700
61,17,1701
62,17,1702
63,17,1703
64,17,1704
65,17,1705
66,17,1706
67,17,1707
68,17,1708
69,17,1709
70,17,1710
71,17,1711
72,17,1712
73,17,1713
74,17,1714
75,17,1715
76,17,1716
77,17,1717
78,17,1718
79,17,1719
80,17,1720
81,17,1721
82,17,1722
83,17,1723
84,17,1724
85,17,1725
86,17,1726
87,17,1727
88,17,1728
89,17,1729
90,17,1730
91,17,1731
92,17,1732
93,17,1733
94,17,1734
95,17,1735
96,17,1736
97,17,1737
98,17,1738
99,17,1739
100,17,1740
101,17,1741
102,17,1742
103,17,1743
104,17,1744
105,17,1745
106,17,1746
107,17,1747
108,17,1748
109,17,1749
110,17,1750
111,17,1751
1,18,18
2,18,128
3,18,237
4,18,345
5,18,452
6,18,558
7,18,663
8,18,767
9,18,870
10,18,972
11,18,1073
12,18,1173
13,18,1272
14,18,1370
15,18,1467
16,18,1563
17,18,1658
18,18,1752
19,18,1753
20,18,1754
21,18,1755
22,18,1756
23,18,1757
24,18,1758
25,18,1759
26,18,1760
27,18,1761
28,18,1762
29,18,1763
30,18,1764
31,18,1765
32,18,1766
33,18,1767
34,18,1768
35,18,1769
36,18,1770
37,18,1771
38,18,1772
39,18,1773
40,18,1774
41,18,1775
42,18,1776
43,18,1777
44,18,1778
45,18,1779
46,18,1780
47,18,1781
48,18,1782
49,18,1783
50,18,1784
51,18,1785
52,18,1786
53,18,1787
54,18,1788
55,18,1789
56,18,1790
57,18,1791
58,18,1792
59,18,1793
60,18,1794
61,18,1795
62,18,1796
63,18,1797
64,18,1798
65,18,1799
66,18,1800
67,18,1801
68,18,1802
69,18,1803
70,18,1804
71,18,1805
72,18,1806
73,18,1807
74,18,1808
75,18,1809
76,18,1810
77,18,1811
78,18,1812
79,18,1813
80,18,1814
81,18,1815
82,18,1816
83,18,1817
84,18,1818
85,18,1819
86,18,1820
87,18,1821
88,18,1822
89,18,1823
90,18,1824
91,18,1825
92,18,1826
93,18,1827
94,18,1828
95,18,1829
96,18,1830
97,18,1831
98,18,1832
99,18,1833
100,18,1834
101,18,1835
102,18,1836
103,18,1837
104,18,1838
105,18,1839
106,18,1840
107,18,1841
108,18,1842
109,18,1843
110,18,1844
111,18,1845
1,19,19
2,19,129
3,19,238
4,19,346
5,19,453
6,19,559
7,19,664
8,19,768
9,19,871
10,19,973
11,19,1074
12,19,1174
13,19,1273
14,19,1371
15,19,1468
16,19,1564
17,19,1659
18,19,1753
19,19,1846
20,19,1847
21,19,1848
22,19,1849
23,19,1850
24,19,1851
25,19,1852
26,19,1853
27,19,1854
28,19,1855
29,19,1856
30,19,1857
31,19,1858
32,19,1859
33,19,1860
34,19,1861
35,19,1862
36,19,1863
37,19,1864
38,19,1865
39,19,1866
40,19,1867
41,19,1868
42,19,1869
43,19,1870
44,19,1871
45,19,1872
46,19,1873
47,19,1874
48,19,1875
49,19,1876
50,19,1877
51,19,1878
52,19,1879
53,19,1880
54,19,1881
55,19,1882
56,19,1883
57,19,1884
58,19,1885
59,19,1886
60,19,1887
61,19,1888
62,19,1889
63,19,1890
64,19,1891
65,19,1892
66,19,1893
67,19,1894
68,19,1895
69,19,1896
70,19,1897
71,19,1898
72,19,1899
73,19,1900
74,19,1901
75,19,1902
76,19,1903
77,19,1904
78,19,1905
79,19,1906
80,19,1907
81,19,1908
82,19,1909
83,19,1910
84,19,1911
85,19,1912
86,19,1913
87,19,1914
88,19,1915
89,19,1916
90,19,1917
91,19,1918
92,19,1919
93,19,1920
94,19,1921
95,19,1922
96,19,1923
97,19,1924
98,19,1925
99,19,1926
100,19,1927
101,19,1928
102,19,1929
103,19,1930
104,19,1931
105,19,1932
106,19,1933
107,19,1934
108,19,1935
109,19,1936
110,19,1937
111,19,1938
1,20,20
2,20,130
3,20,239
4,20,347
5,20,454
6,20,560
7,20,665
8,20,769
9,20,872
10,20,974
11,20,1075
12,20,1175
13,20,1274
14,20,1372
15,20,1469
16,20,1565
17,20,1660
18,20,1754
19,20,1847
20,20,1939
21,20,1940
22,20,1941
23,20,1942
24,20,1943
25,20,1944
26,20,1945
27,20,1946
28,20,1947
29,20,1948
30,20,1949
31,20,1950
32,20,1951
33,20,1952
34,20,1953
35,20,1954
36,20,1955
37,20,1956
38,20,1957
39,20,1958
40,20,1959
41,20,1960
